;address;name_location;latitude;longitude
1525;R. Floriano Peixoto, 47 - Vila Carvalho Sorocaba - ;R. Floriano Peixoto, 47;-23.4947177;-47.460935
1527;R. Crispiniano da Fontoura Costa, 43 - Vila Carvalho Sorocaba - ;R. Crispiniano da Fontoura Costa, 43;-23.4941697;-47.4639847
1529;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
1531;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704437
1533;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5145393;-47.4745287
1535;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704437
1537;R. Visc. do Rio Branco, 737 - Vila Jardini Sorocaba - ;ARMAZÉM SOROCABANO LTDA;-23.510554;-47.476473
1539;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704437
1541;Av. Caribe, 184 - Jardim America Sorocaba - ;Av. Caribe, 184;-23.5212551;-47.4699229
1543;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704437
1545;Av. Gen. Carneiro, 1850 - Vila Lucy Sorocaba - ;Posto Ipiranga;-23.5077984;-47.485259
1547;R. Águiar de Barros, 30 - Vila Adelia Sorocaba - ;mini preço santa rita;-23.4862583;-47.4591143
1549;R. São Bento, 232 - Centro Sorocaba - ;Correios (AC/SOROCABA/SPI);-23.5010304;-47.4585553
1551;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1553;Av. Gen. Carneiro, 1561 - Vila Jardini Sorocaba - ;Av. Gen. Carneiro, 1561;-23.5066936;-47.4827348
1555;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704437
1557;R. Padre Luiz, 379 - Centro Sorocaba - ;Commercial Hope - Sorocaba Center;-23.4986111;-47.4608333
